ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,action_gps_tracking,action_screenshots,action_create_custom_field,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,,,United Kingdom,2,5,6,2,0,155.844,Yes
2,0,0,2,2,0,0,1,0,5,0,0,0,0,6,2,2,,Germany,113,12,13,2,0,253.448,No
4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,,California,384,12,15,4,0,383.786,Yes
40,7,0,142,370,0,0,0,1,3,152,2,0,15,28,,3,1,,381,12,23,40,0,6244.355,No
1,0,0,4,0,0,0,0,0,21,0,0,0,8,4,,,,Washington,16,6,7,1,0,90.909,Yes
3,0,0,230,142,0,4,1,0,1,0,0,0,0,38,,,5,South Africa,126,9,14,3,0,306.007,Yes
1,0,0,30,8,1,0,1,0,0,0,0,0,0,7,,,1,,316,10,3,1,0,22.074,Yes
19,4,1,35,88,0,137,0,0,3,0,1,0,15,34,,,3,Germany,328,13,12,20,0,1351.311,No
2,0,0,31,15,0,0,0,0,0,0,0,0,55,0,1,,1,Canada,0,6,7,2,0,181.818,Yes
35,2,20,61,580,0,49,0,34,35,15,3,0,2,0,,,2,,369,12,32,56,0,3506.581,No
1,0,0,2,0,0,0,0,0,3,0,0,1,0,0,,,,Hungary,0,13,13,1,0,168.831,No
6,0,0,180,169,0,0,0,0,0,0,0,0,87,81,,,,Arizona,380,12,15,7,0,720.174,No
1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,,1,,California,46,13,12,1,0,155.844,No
1,0,0,12,0,1,0,0,0,0,0,0,0,0,25,,,,California,308,11,2,1,0,25.974,Yes
2,0,0,87,142,0,49,0,0,1,1,0,2,0,2,,,,Ireland,244,8,12,2,0,329.901,No
2,3,0,34,76,0,4,0,0,8,0,1,0,0,16,,,,Australia,278,9,14,2,0,984.035,No
1,0,0,15,13,0,0,0,0,21,5,0,1,0,25,,,6,,0,13,3,1,0,35.061,No
5,1,1,96,33,0,0,0,0,0,0,0,0,0,163,,,,California,14,0,16,7,0,878.527,Yes
1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,,,,Finland,0,7,8,1,0,103.896,Yes
25,2,0,72,114,11,0,0,3,0,0,0,1,0,7,2,1,11,,318,12,18,26,0,2939.118,No
1,0,0,4,0,0,7,0,0,46,0,0,0,1,0,,,,Michigan,56,13,13,1,0,155.844,No
1,0,0,9,0,0,0,0,0,24,0,0,0,0,0,,1,,Malaysia,243,13,5,1,0,64.935,No
3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,,,India,19,13,12,4,0,623.376,No
2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,New Jersey,273,9,12,2,0,193.102,No
5,3,0,17,41,0,0,1,0,2,0,0,0,0,0,2,2,,,60,4,13,5,0,1030.354,Yes
7,2,0,11,40,1,74,0,2,0,0,0,0,101,13,,,,Arkansas,61,3,14,7,0,1045.603,No
2,0,0,29,34,0,0,0,0,0,0,0,0,0,0,,2,,Australia,9,8,9,2,0,233.766,Yes
1,0,0,43,7,0,0,1,0,2,0,0,0,38,78,3,3,,,51,6,5,1,0,64.935,Yes
1,2,0,109,0,0,7,0,0,0,0,0,0,0,59,,,,Suriname,152,5,11,1,0,131.469,Yes
3,0,0,56,1,0,0,0,0,269,5,0,1,98,9,,,2,Canada,213,7,13,3,0,384.15,No
99,0,1,366,170,0,381,0,0,8,12,0,0,43,10,,,1,Arizona,391,13,25,100,0,10304.06,No
6,0,0,54,16,0,0,0,0,10,16,0,0,12,82,,2,,Croatia,372,12,10,6,0,414.817,No
1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,1,,Canada,59,9,8,1,0,103.896,Yes
3,0,0,243,4,0,15,0,0,253,0,0,0,52,0,,,,Colorado,254,8,16,3,0,246.337,No
17,1,0,1,43,0,0,0,0,0,4,1,1,0,0,,,,,62,3,19,17,0,2608.346,No
34,15,0,31,377,0,0,1,0,143,36,4,0,0,49,,,,Brazil,40,1,9,35,0,2440.568,Yes
36,3,0,7,50,0,0,0,0,0,22,3,0,0,0,2,,,Canada,322,10,25,39,0,4523.831,No
8,0,0,31,1,0,5,0,0,115,0,0,1,37,1,,,,California,342,11,19,7,1,875.55,No
17,0,0,64,354,0,447,0,11,0,0,0,0,0,0,,,28,California,300,10,21,17,0,2179.853,No
22,1,0,56,73,4,105,0,0,0,0,0,0,0,75,,,2,Germany,183,8,18,23,0,3058.276,No
4,0,3,35,5,1,0,0,0,0,0,0,0,0,0,,1,,Mississippi,268,9,13,7,0,896.168,No
2,2,0,0,0,0,0,0,6,0,0,0,0,25,0,,,,California,43,1,12,2,0,321.191,No
1,0,0,44,34,0,0,1,0,2,0,0,0,76,0,1,2,,Italy,15,13,12,1,0,155.844,No
8,5,0,7,38,2,0,0,0,1,0,2,1,35,0,,,4,Canada,258,8,12,8,0,511.94,Yes
1,0,0,8,1,0,0,1,0,83,0,0,0,48,2,2,1,2,California,28,13,12,1,0,155.844,No
11,8,2,97,11,5,51,0,0,0,0,0,0,0,131,,2,3,Argentina,89,13,10,13,0,1688.31,No
2,0,0,4,11,0,1,1,0,16,0,0,0,0,3,,1,,Canada,16,2,7,1,0,77.064,Yes
4,0,0,35,14,1,2,0,0,0,0,0,0,0,20,,,,California,380,13,2,4,0,51.233,No
7,0,0,155,990,0,86,0,0,0,16,1,0,0,136,,,,Arizona,354,12,14,7,0,699.881,No
1,0,0,24,1,0,0,0,0,2,0,2,0,0,7,,,6,,149,12,8,1,0,103.896,No
1,0,0,29,0,0,40,0,0,102,0,0,0,91,0,1,2,2,,0,13,13,1,0,168.831,No
1,0,0,31,4,0,4,1,0,28,0,0,0,0,31,,2,,California,52,13,11,1,0,142.857,No
1,0,0,22,1,0,0,0,0,51,0,0,0,0,0,,,,Florida,268,9,8,1,0,76.596,Yes
22,0,0,977,136,13,1,0,0,11,0,0,0,0,0,,,,,306,12,15,22,0,2550.431,No
3,0,0,50,0,0,0,0,0,0,0,1,0,3,0,,,,California,8,13,12,3,0,467.532,No
36,0,2,15,10,1,0,1,0,0,2,1,0,0,0,1,1,2,Dominican Republic,238,8,31,38,0,3509.727,No
5,3,0,124,2,0,0,1,0,3,0,0,0,0,17,2,2,,Argentina,120,4,11,6,0,727.909,No
1,0,0,7,45,0,0,0,0,0,0,0,0,0,0,,,,United Kingdom,276,13,4,1,0,51.948,No
1,0,0,22,21,0,8,1,0,39,0,0,0,1,20,2,2,,Spain,258,13,4,1,0,51.948,No
1,0,0,12,0,0,0,0,0,43,0,0,0,0,1,5,,,Albania,7,13,12,1,0,155.844,No
3,0,0,10,7,0,0,1,37,2,0,0,0,0,0,1,,,South Africa,27,2,12,4,0,363.376,Yes
14,1,0,41,82,0,118,1,0,1,8,0,0,3,24,,2,,Australia,348,12,2,16,0,205.894,No
7,1,0,27,19,0,0,0,1,0,0,0,0,0,0,,,8,Lithuania,51,2,7,7,0,530.218,Yes
11,1,0,111,12,0,66,0,0,0,0,0,0,0,112,,,,Canada,248,8,15,12,0,1064.154,No
1,0,0,16,0,0,3,0,0,0,0,0,0,1,1,,,,Canada,335,12,2,1,0,25.974,No
12,2,0,13,2,0,0,0,0,0,0,0,0,0,0,,,,,300,13,10,14,0,1287.325,No
1,4,0,10,0,1,0,0,0,0,0,1,0,0,13,2,2,,,193,6,7,1,0,144.261,Yes
24,0,0,139,64,0,201,0,0,1405,33,0,0,304,2,,,1,Delaware,19,1,19,27,0,4148.092,No
7,0,5,4,12,0,0,0,0,0,2,2,0,0,0,1,,,Tennessee,293,10,1,16,0,207.792,Yes
17,5,0,76,7,1,95,0,1,0,0,1,0,0,11,1,1,,Austria,365,12,19,18,0,2382.757,No
32,0,0,5,58,0,4,1,0,0,4,1,1,0,0,1,1,,Arizona,35,1,23,32,0,3604.822,No
6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,,,,Australia,215,7,14,6,0,784.381,No
1,0,0,16,8,0,0,0,1,53,0,0,0,0,34,2,,,France,18,11,11,1,0,142.857,Yes
2,4,0,15,43,0,0,1,1,0,21,5,0,0,4,,,,Arizona,219,8,12,2,0,419.016,Yes
2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,,,15,2,7,2,0,168.792,Yes
5,1,0,0,0,0,8,0,0,0,0,0,0,0,0,,,,,221,7,6,5,0,324.623,No
7,0,0,87,1,0,0,0,3,0,0,0,0,0,39,1,1,,Australia,356,13,14,7,0,955.006,No
6,0,0,39,182,0,31,1,0,0,5,0,0,0,17,,,5,Australia,78,13,14,6,0,895.128,No
3,1,0,50,0,0,0,1,0,0,0,0,0,29,8,2,1,,South Africa,232,9,11,3,0,346.814,Yes
1,1,0,30,65,0,0,0,22,0,0,0,0,0,0,1,1,9,California,152,11,7,2,0,181.818,Yes
8,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,1,,,117,5,2,8,0,207.792,Yes
12,1,0,26,92,1,4,1,0,126,0,1,0,30,22,2,,1,Hungary,251,13,13,12,0,2092.545,No
4,0,0,4,10,0,0,0,0,0,0,0,0,0,4,,,,Germany,30,1,10,4,0,368.654,Yes
1,0,0,2,19,0,0,0,0,1,0,0,0,0,0,,,,Bahamas,4,13,12,1,0,155.844,No
2,0,0,18,0,0,0,0,0,0,0,0,0,9,0,,,,Philippines,116,13,11,2,0,252.98,No
9,0,0,76,169,1,0,0,0,760,6,2,1,79,2,2,1,2,California,18,4,14,12,0,1754.051,No
3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Armenia,135,5,13,3,0,419.185,No
3,0,1,29,13,0,0,0,1,1,0,0,0,0,0,2,2,2,France,310,13,2,4,0,103.896,No
4,1,0,26,0,0,0,1,0,52,0,0,0,99,0,,,,Bahamas,189,6,15,5,0,654.914,No
1,0,0,13,59,0,0,1,0,51,0,0,0,34,0,2,1,,Germany,98,14,9,1,0,116.883,No
14,1,1,4,4,0,0,0,0,0,0,0,0,0,0,,,,Canada,2,0,11,16,0,1026.753,Yes
8,0,2,33,138,0,0,0,0,4,0,0,2,33,0,1,,,Cayman Islands,101,13,13,10,0,1531.647,No
12,0,0,14,3,0,0,1,1,0,0,0,0,0,0,1,1,,Florida,7,1,12,12,0,2368.743,Yes
8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,310,11,15,8,0,443.092,No
6,14,1,27,92,0,0,1,0,0,0,1,0,0,0,,,,Arizona,57,2,16,11,0,1858.805,Yes
1,0,0,6,56,0,0,0,0,3,0,0,0,0,4,,,,Germany,287,10,1,1,0,12.987,Yes
1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,,,Poland,293,11,2,1,0,25.974,Yes
1,0,0,5,39,0,0,0,0,0,0,0,0,0,0,,,,Belgium,222,13,5,1,0,64.935,No
10,1,0,18,103,1,0,0,13,7,0,0,0,0,8,3,1,,Argentina,381,13,21,11,0,1994.395,No
2,0,0,45,0,0,0,0,0,0,2,0,0,0,0,,3,,France,15,7,7,2,0,181.818,Yes
158,9,5,172,714,127,423,0,64,19,132,2,0,0,40,,,3,Argentina,240,8,90,170,0,20844.252,No
4,0,0,26,28,0,0,0,0,10,0,1,0,0,34,,,,Australia,361,13,1,5,0,64.935,No
6,0,0,1,1,0,33,0,0,0,0,0,0,0,0,,,,Australia,181,8,11,6,0,520.195,No
2,0,0,29,0,0,0,1,8,7,0,0,0,2,114,,2,4,Singapore,50,13,13,2,0,305.396,No
4,1,0,0,0,0,25,0,0,1,0,0,0,0,0,,,,Costa Rica,229,11,15,4,0,617.695,No
10,2,0,32,21,2,48,0,0,4,0,0,1,553,0,3,,,Connecticut,369,13,8,10,0,735.241,No
27,4,0,52,354,3,0,0,0,0,0,0,0,0,97,,,6,Argentina,65,13,14,27,0,4127.019,No
1,0,0,17,3,0,0,0,0,0,0,0,0,0,3,1,1,,Brazil,194,9,3,1,0,38.961,Yes
3,0,0,8,14,0,0,0,0,45,12,0,0,0,8,2,1,,Brazil,259,13,10,3,0,252.512,No
6,1,0,43,101,0,0,0,0,307,0,0,0,0,6,,,,France,187,7,10,6,0,579.085,No
1,2,0,0,0,0,0,0,0,16,0,0,0,10,0,,,,Alabama,16,1,9,1,0,163.787,Yes
1,0,0,73,0,0,0,0,0,64,0,0,0,39,0,,,,California,34,12,11,1,0,142.857,No
8,0,0,17,0,2,0,0,0,0,0,0,0,0,0,,,4,Massachusetts,49,7,16,8,0,1112.644,No
1,0,0,15,0,0,0,0,0,0,0,0,0,0,22,,,,Canada,140,6,2,1,0,25.974,Yes
2,1,0,35,38,0,0,0,0,1,0,0,2,16,27,1,1,,Alabama,20,13,12,4,0,623.376,No
1,5,0,154,31,0,0,1,0,0,2,0,0,0,0,,2,,Bangladesh,13,9,9,1,0,1051.947,Yes
1,0,0,9,17,0,8,0,0,0,0,0,0,0,0,,,1,Czechia,336,11,2,1,0,12.987,No
1,0,0,4,7,0,0,1,0,18,0,0,0,35,0,1,2,,Illinois,26,8,6,1,0,77.922,Yes
15,0,2,117,100,0,177,0,0,0,0,0,0,0,0,,,,District of Columbia,270,12,22,17,0,1331.941,No
2,0,0,42,57,0,0,0,0,1,2,0,0,0,6,1,,11,South Africa,134,5,8,2,0,218.27,Yes
17,2,0,19,428,1,391,0,0,0,9,2,0,0,52,,,2,Argentina,333,11,9,18,0,1018.056,No
2,0,0,12,22,0,6,1,1,8,0,0,0,0,0,,,,Austria,200,13,6,2,0,155.844,No
4,0,0,132,48,0,88,1,0,2,0,3,0,33,129,1,1,,United Kingdom,16,1,14,4,0,584.428,No
